,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,する,いる,の,なる,ある,こと,れる,よう,ん,俺,言う,これ,ない,くる,それ,私,見る,さん,思う,何
1,する,いる,の,こと,なる,れる,それ,よう,ある,俺,ない,言う,ん,私,くる,てる,思う,何,できる,さん
2,する,いる,の,こと,ん,れる,なる,それ,私,言う,ある,よう,俺,くる,てる,思う,僕,ない,見る,何
